P_ID,P_Name,Category,Company Name,Gender,Price
PD_21000001,Distressed Stretch Denim Charcoal Faded Jeans,Jeans,Puma,Unisex,332.77
PD_21000002,Straight Leg Cotton Blend Light Blue Faded Jeans,Jeans,Gap,Men,225.24
PD_21000003,Single-Breasted Cashmere Gray Houndstooth Blazer,Blazer,Reebok,Unisex,371.94
PD_21000004,Cropped Knit Dark Green Textured Hoodie,Hoodie,Puma,Men,294.26
PD_21000005,Formal Silk Olive Green Solid Shirt,Shirt,Levi's,Women,71.29
PD_21000006,Midi Cotton Charcoal Polka Dot Dress,Dress,Puma,Unisex,106.08
PD_21000007,Asymmetrical Chiffon Brown Textured Skirt,Skirt,H&M,Men,354.91
PD_21000008,Pullover Acrylic Navy Blue Embroidered Hoodie,Hoodie,H&M,Women,276.41
PD_21000009,Denim Spandex Beige Colorblock Shorts,Shorts,Puma,Women,162.23
PD_21000010,Denim Spandex Brown Checkered Shorts,Shorts,Zara,Men,464.1
PD_21000011,Pleated Satin Black Geometric Skirt,Skirt,Pantaloons,Men,411.33
PD_21000012,Graphic Rayon Maroon Tie-Dye T-Shirt,T-Shirt,Levi's,Men,259.37
PD_21000013,Regular Fit Jersey Olive Green Solid T-Shirt,T-Shirt,H&M,Unisex,294.73
PD_21000014,Oversized Acrylic Maroon Camouflage Hoodie,Hoodie,Nike,Men,244.92
PD_21000015,Formal Jersey Olive Green Solid Shirt,Shirt,Gap,Men,267.6
PD_21000016,Single-Breasted Cotton Gray Solid Blazer,Blazer,Nike,Women,191.78
PD_21000017,Baja Nylon Black Colorblock Hoodie,Hoodie,Reebok,Men,82.54
PD_21000018,Fitted Polyester Brown Camouflage Hoodie,Hoodie,H&M,Women,391.05
PD_21000019,Mandarin Collar Silk Charcoal Striped Shirt,Shirt,H&M,Women,48.37
PD_21000020,Field Polyester Gray Quilted Jacket,Jacket,Zara,Unisex,418.79
PD_21000021,Raglan Nylon Gray Textured Hoodie,Hoodie,Adidas,Unisex,24.6
PD_21000022,Pullover Merino Wool Navy Blue Embroidered Sweater,Sweater,Gap,Unisex,117.1
PD_21000023,Athletic Spandex White Printed Shorts,Shorts,Zara,Unisex,425.85
PD_21000024,Tiered Polyester Maroon Embroidered Skirt,Skirt,Zara,Women,318.24
PD_21000025,Bomber Tweed White Checkered Jacket,Jacket,Pantaloons,Men,408.98
PD_21000026,Formal Denim Beige Embroidered Shirt,Shirt,Reebok,Unisex,191.7
PD_21000027,Pullover Cotton Dark Green Solid Sweater,Sweater,Zara,Women,182.88
PD_21000028,Relaxed Fit Fleece Maroon Embroidered Shorts,Shorts,Levi's,Women,354.26
PD_21000029,Classic Fit Poly Blend Brown Houndstooth Blazer,Blazer,Levi's,Women,356.23
PD_21000030,Pencil Denim Maroon Floral Skirt,Skirt,Reebok,Men,255.39
PD_21000031,Flared Tulle Beige Polka Dot Skirt,Skirt,Reebok,Unisex,45.56
PD_21000032,Cropped Wool Blend Gray Striped Hoodie,Hoodie,Uniqlo,Women,15.19
PD_21000033,Cardigan Knitted Maroon Geometric Sweater,Sweater,Gap,Women,37.86
PD_21000034,Wrap Cotton Olive Green Textured Skirt,Skirt,Uniqlo,Unisex,490.6
PD_21000035,Wrap Chiffon Beige Checkered Skirt,Skirt,H&M,Men,226.89
PD_21000036,Unstructured Poly Blend Gray Solid Blazer,Blazer,Zara,Unisex,268.12
PD_21000037,Wrap Silk Maroon Printed Skirt,Skirt,Reebok,Men,342.46
PD_21000038,Hooded Cotton Gray Printed Jacket,Jacket,H&M,Men,451.03
PD_21000039,Casual Polyester Beige Printed Shirt,Shirt,Zara,Unisex,142.34
PD_21000040,Crew Neck Rayon Brown Tie-Dye T-Shirt,T-Shirt,Zara,Unisex,264.64
PD_21000041,Crew Neck Polyester Black Ribbed Sweater,Sweater,Levi's,Women,27.03
PD_21000042,Flared Rayon Beige Embroidered Skirt,Skirt,H&M,Men,176.66
PD_21000043,Mini Chiffon Olive Green Checkered Skirt,Skirt,Gap,Men,287.95
PD_21000044,Unstructured Cotton Beige Solid Blazer,Blazer,Gap,Women,49.39
PD_21000045,V-Neck Polyester Gray Checkered T-Shirt,T-Shirt,H&M,Men,498.07
PD_21000046,Henley Silk Beige Printed Shirt,Shirt,Levi's,Women,363.09
PD_21000047,Fitted Polyester Black Textured Hoodie,Hoodie,H&M,Unisex,95.38
PD_21000048,Flared Cotton Blend Olive Green Embroidered Jeans,Jeans,Zara,Men,138.61
PD_21000049,Oxford Jersey Blue Geometric Shirt,Shirt,Levi's,Women,136.78
PD_21000050,Baja Cotton Navy Blue Geometric Hoodie,Hoodie,Gap,Men,358.22
PD_21000051,Fitted French Terry Charcoal Geometric Hoodie,Hoodie,Levi's,Men,498.08
PD_21000052,Classic Fit Cashmere Brown Houndstooth Blazer,Blazer,H&M,Unisex,170.87
PD_21000053,Wrap Velvet Charcoal Floral Skirt,Skirt,Levi's,Unisex,428.88
PD_21000054,Puffer Suede Charcoal Quilted Jacket,Jacket,H&M,Men,326.98
PD_21000055,Crew Neck Wool Brown Printed Sweater,Sweater,Nike,Men,217.41
PD_21000056,Midi Silk Charcoal Geometric Dress,Dress,Puma,Unisex,410.46
PD_21000057,Raglan Spandex Navy Blue Ribbed Hoodie,Hoodie,Reebok,Women,478.13
PD_21000058,Unstructured Linen Gray Houndstooth Blazer,Blazer,Reebok,Unisex,339.21
PD_21000059,Slim Fit Cashmere Brown Colorblock Sweater,Sweater,Nike,Women,125.48
PD_21000060,Flared Stone Wash Dark Blue Distressed Jeans,Jeans,Adidas,Unisex,310.24
PD_21000061,Regular Fit Tencel Beige Solid T-Shirt,T-Shirt,Gap,Men,415.93
PD_21000062,Henley Modal Dark Green Checkered T-Shirt,T-Shirt,H&M,Unisex,79.97
PD_21000063,Hooded Suede Charcoal Printed Jacket,Jacket,Adidas,Women,110.9
PD_21000064,A-Line Silk White Embroidered Skirt,Skirt,Nike,Men,129.04
PD_21000065,Trench Tweed Gray Geometric Jacket,Jacket,Adidas,Men,285.27
PD_21000066,Mermaid Silk Black Floral Dress,Dress,Adidas,Men,375.61
PD_21000067,Henley Jersey Maroon Printed Shirt,Shirt,Gap,Unisex,474.56
PD_21000068,Color Block Polyester Beige Colorblock Hoodie,Hoodie,Zara,Unisex,226.04
PD_21000069,Mandarin Collar Rayon Charcoal Striped Shirt,Shirt,Puma,Men,117.67
PD_21000070,Regular Fit Chambray Olive Green Striped Shirt,Shirt,Uniqlo,Unisex,405.97
PD_21000071,V-Neck Cotton Dark Green Solid Sweater,Sweater,Uniqlo,Unisex,375.65
PD_21000072,Cardigan Silk Blend Brown Colorblock Sweater,Sweater,H&M,Men,274.11
PD_21000073,Mermaid Denim Gray Printed Dress,Dress,Adidas,Unisex,112.71
PD_21000074,Single-Breasted Cotton Navy Blue Checkered Blazer,Blazer,Puma,Unisex,311.14
PD_21000075,High-Waisted Fleece Maroon Textured Shorts,Shorts,Nike,Unisex,457.98
PD_21000076,Pullover Polyester Charcoal Geometric Hoodie,Hoodie,Gap,Women,78.79
PD_21000077,Flared Denim Olive Green Geometric Skirt,Skirt,Levi's,Unisex,378.99
PD_21000078,Graphic Jersey Charcoal Tie-Dye T-Shirt,T-Shirt,Pantaloons,Unisex,321.67
PD_21000079,A-Line Satin Maroon Colorblock Skirt,Skirt,Gap,Women,70.4
PD_21000080,Maxi Tulle White Floral Dress,Dress,Pantaloons,Women,89.1
PD_21000081,Pencil Satin Charcoal Colorblock Skirt,Skirt,Reebok,Unisex,194.28
PD_21000082,Pocket Mesh White Textured T-Shirt,T-Shirt,Zara,Men,125.56
PD_21000083,Henley Spandex Dark Green Solid T-Shirt,T-Shirt,H&M,Men,35.78
PD_21000084,Mini Silk Gray Polka Dot Dress,Dress,Reebok,Men,433.91
PD_21000085,Maxi Rayon Navy Blue Printed Dress,Dress,Adidas,Men,32.6
PD_21000086,High-Waisted Poly-Cotton Indigo Solid Jeans,Jeans,H&M,Women,385.6
PD_21000087,Straight Leg Stretch Denim White Bleached Jeans,Jeans,Gap,Men,295.87
PD_21000088,Graphic Linen Charcoal Checkered T-Shirt,T-Shirt,Puma,Unisex,122.58
PD_21000089,Midi Tulle Maroon Colorblock Skirt,Skirt,Nike,Women,89.83
PD_21000090,Unstructured Poly Blend Beige Solid Blazer,Blazer,Zara,Men,93.15
PD_21000091,Wrap Polyester Gray Geometric Dress,Dress,H&M,Men,48.39
PD_21000092,Hooded Suede Charcoal Quilted Jacket,Jacket,Nike,Unisex,191.87
PD_21000093,Bomber Canvas Brown Quilted Jacket,Jacket,Levi's,Men,290.51
PD_21000094,Midi Chiffon Maroon Textured Skirt,Skirt,H&M,Men,225.89
PD_21000095,Midi Velvet Charcoal Solid Dress,Dress,Levi's,Men,398.83
PD_21000096,Classic Fit Cashmere Navy Blue Checkered Blazer,Blazer,Reebok,Unisex,98.16
PD_21000097,Chino Polyester Charcoal Solid Shorts,Shorts,Puma,Women,476.68
PD_21000098,Maxi Velvet Navy Blue Geometric Skirt,Skirt,Reebok,Unisex,215.64
PD_21000099,Board Cotton Brown Ribbed Shorts,Shorts,Pantaloons,Unisex,421.07
PD_21000100,Slim Fit Linen Blue Solid Shirt,Shirt,Gap,Women,440.97
PD_21000101,Relaxed Fit Spandex Gray Embroidered Shorts,Shorts,Zara,Women,283.29
PD_21000102,Wrap Rayon Charcoal Checkered Skirt,Skirt,Puma,Women,199.8
PD_21000103,Color Block Spandex Dark Green Solid Hoodie,Hoodie,Zara,Unisex,160.08
PD_21000104,Regular Fit Denim Black Ribbed Shirt,Shirt,Levi's,Women,217.98
PD_21000105,Henley Twill Gray Geometric Shirt,Shirt,Levi's,Unisex,234.31
PD_21000106,Longline Bamboo Charcoal Textured T-Shirt,T-Shirt,Levi's,Unisex,364.62
PD_21000107,Pleated Chiffon Beige Striped Skirt,Skirt,Puma,Women,419.49
PD_21000108,V-Neck Fleece Navy Blue Embroidered Sweater,Sweater,Reebok,Unisex,420.59
PD_21000109,Bodycon Chiffon Navy Blue Solid Dress,Dress,Levi's,Women,253.57
PD_21000110,Bootcut Raw Denim Gray Distressed Jeans,Jeans,Zara,Unisex,351.51
PD_21000111,Denim Tweed Charcoal Striped Jacket,Jacket,Uniqlo,Unisex,67.51
PD_21000112,Single-Breasted Linen Navy Blue Herringbone Blazer,Blazer,Zara,Women,291.59
PD_21000113,Quilted Leather White Quilted Jacket,Jacket,Uniqlo,Men,463.26
PD_21000114,Zipper Merino Wool Olive Green Colorblock Sweater,Sweater,Levi's,Men,354.2
PD_21000115,Regular Fit Mesh Navy Blue Colorblock T-Shirt,T-Shirt,Adidas,Unisex,378.57
PD_21000116,Pleated Silk Beige Embroidered Skirt,Skirt,Reebok,Women,280.66
PD_21000117,Pleated Rayon White Checkered Skirt,Skirt,Reebok,Women,496.96
PD_21000118,V-Neck Alpaca Charcoal Solid Sweater,Sweater,Zara,Women,161
PD_21000119,Bermuda Fleece Beige Tie-Dye Shorts,Shorts,H&M,Unisex,455.36
PD_21000120,Formal Denim Navy Solid Shirt,Shirt,Puma,Men,375.2
PD_21000121,Raglan Wool Blend Brown Embroidered Hoodie,Hoodie,Uniqlo,Men,42.44
PD_21000122,Slim Fit Jersey Gray Embroidered Shirt,Shirt,Adidas,Unisex,296.8
PD_21000123,Relaxed Fit Mesh White Solid Shorts,Shorts,H&M,Women,81.44
PD_21000124,Polo Modal Navy Blue Printed T-Shirt,T-Shirt,Adidas,Unisex,233.95
PD_21000125,Regular Fit Denim Maroon Solid Shirt,Shirt,Adidas,Men,247.89
PD_21000126,Casual Linen Navy Ribbed Shirt,Shirt,Puma,Men,484.47
PD_21000127,Mini Satin Brown Textured Dress,Dress,Uniqlo,Men,411.69
PD_21000128,Double-Breasted Cashmere Brown Herringbone Blazer,Blazer,Puma,Men,224.06
PD_21000129,Flared Selvedge Denim Dark Blue Distressed Jeans,Jeans,Puma,Unisex,387.95
PD_21000130,Pleated Chiffon Black Embroidered Skirt,Skirt,Reebok,Unisex,186.06
PD_21000131,Athletic Denim Maroon Embroidered Shorts,Shorts,Nike,Unisex,77.21
PD_21000132,Pleated Rayon Navy Blue Printed Shorts,Shorts,Nike,Men,272.72
PD_21000133,Board Cotton Olive Green Printed Shorts,Shorts,Puma,Unisex,342.93
PD_21000134,Distressed Rigid Denim Dark Blue Patchwork Jeans,Jeans,Adidas,Men,140.98
PD_21000135,Polo Spandex Olive Green Geometric T-Shirt,T-Shirt,Adidas,Unisex,147.12
PD_21000136,Midi Linen Black Checkered Dress,Dress,Levi's,Women,69.58
PD_21000137,Shift Chiffon Beige Embroidered Dress,Dress,Zara,Men,140.56
PD_21000138,Straight Leg Poly-Cotton Charcoal Distressed Jeans,Jeans,Adidas,Women,448.4
PD_21000139,Polo Bamboo White Checkered T-Shirt,T-Shirt,Pantaloons,Unisex,90.85
PD_21000140,Single-Breasted Wool Gray Herringbone Blazer,Blazer,Adidas,Unisex,224.37
PD_21000141,Bomber Tweed Navy Blue Geometric Jacket,Jacket,Nike,Women,430.35
PD_21000142,Flared Polyester Dark Green Colorblock Skirt,Skirt,Gap,Women,233.19
PD_21000143,Oversized Linen Navy Checkered Shirt,Shirt,Levi's,Men,200.07
PD_21000144,Chino Denim Olive Green Embroidered Shorts,Shorts,Levi's,Unisex,151.53
PD_21000145,Hooded Polyester Gray Solid Jacket,Jacket,Puma,Women,132.1
PD_21000146,Cropped Wool Blend Olive Green Checkered Hoodie,Hoodie,Puma,Men,382.02
PD_21000147,Single-Breasted Cotton Navy Blue Herringbone Blazer,Blazer,Pantaloons,Unisex,464.97
PD_21000148,Classic Fit Wool Black Houndstooth Blazer,Blazer,Nike,Unisex,75.19
PD_21000149,Cardigan Cotton Grey Cable Knit Sweater,Sweater,Reebok,Men,197.27
PD_21000150,Wrap Rayon Olive Green Geometric Dress,Dress,Nike,Women,94.6
PD_21000151,Oxford Chambray Navy Ribbed Shirt,Shirt,Uniqlo,Men,436.61
PD_21000152,Double-Breasted Cashmere Black Houndstooth Blazer,Blazer,Reebok,Unisex,318.07
